Academic_Year,Semester,Section_Number,Department_Program,Course_Prefix,Course_Number,Course_Title,Course,Letter_Grade,Count_of_letter_grade
,,,,,,,,C,1
,,,,,,,,Other,1
,,11060,Kinesiology,KIN, 320,APPLD BIOMECHS OF HUMAN MOVMNT,"KIN-320: APPLD BIOMECHS OF HUMAN MOVMNT, Section no. 11060",A,4
,,,,,,,,B,8
,,,,,,,,C,2
,,,,,,,,D,1
,,11065,Kinesiology,KIN, 320,APPLD BIOMECHS OF HUMAN MOVMNT,"KIN-320: APPLD BIOMECHS OF HUMAN MOVMNT, Section no. 11065",A,6
,,,,,,,,B,3
,,,,,,,,C,2
,,,,,,,,D,1
,,11070,Kinesiology,KIN, 320,APPLD BIOMECHS OF HUMAN MOVMNT,"KIN-320: APPLD BIOMECHS OF HUMAN MOVMNT, Section no. 11070",A,5
,,,,,,,,B,4
,,,,,,,,C,4
,,,,,,,,Other,2
,,11075,Kinesiology,KIN, 321,THEORY OF HUMAN PERFORMANCE,"KIN-321: THEORY OF HUMAN PERFORMANCE, Section no. 11075",A,35
,,,,,,,,B,13
,,,,,,,,C,2
,,11080,Kinesiology,KIN, 321M,MOTOR DEVEL AND PERF-WB,"KIN-321M: MOTOR DEVEL AND PERF-WB, Section no. 11080",A,12
,,,,,,,,B,16
,,,,,,,,Other,1
,,11085,Kinesiology,KIN, 322,DIAGNOSIS AND EVAL OF FITNESS,"KIN-322: DIAGNOSIS AND EVAL OF FITNESS, Section no. 11085",A,4
,,,,,,,,B,1
,,,,,,,,C,3
,,,,,,,,D,1
,,,,,,,,Other,1
,,11090,Kinesiology,KIN, 322,DIAGNOSIS AND EVAL OF FITNESS,"KIN-322: DIAGNOSIS AND EVAL OF FITNESS, Section no. 11090",A,2
,,,,,,,,B,6
,,,,,,,,C,1
,,,,,,,,D,1
,,,,,,,,Other,1
,,11100,Kinesiology,KIN, 424K,APPLIED HUMAN ANATOMY-WB,"KIN-424K: APPLIED HUMAN ANATOMY-WB, Section no. 11100",A,43
,,,,,,,,B,32
,,,,,,,,C,14
,,,,,,,,D,4
,,,,,,,,F,4
,,,,,,,,Other,5
,,11135,Kinesiology,KIN, 425K,PHYSIOLOGY OF EXERCISE,"KIN-425K: PHYSIOLOGY OF EXERCISE, Section no. 11135",A,6
,,,,,,,,B,2
,,,,,,,,C,3
,,,,,,,,D,1
,,11140,Kinesiology,KIN, 425K,PHYSIOLOGY OF EXERCISE,"KIN-425K: PHYSIOLOGY OF EXERCISE, Section no. 11140",A,6
,,,,,,,,B,3
,,,,,,,,C,3
,,11145,Kinesiology,KIN, 425K,PHYSIOLOGY OF EXERCISE,"KIN-425K: PHYSIOLOGY OF EXERCISE, Section no. 11145",A,3
,,,,,,,,B,5
,,,,,,,,Other,3
,,11150,Kinesiology,KIN, 425K,PHYSIOLOGY OF EXERCISE,"KIN-425K: PHYSIOLOGY OF EXERCISE, Section no. 11150",A,4
,,,,,,,,B,6
,,,,,,,,C,2
,,11155,Kinesiology,KIN, 425K,PHYSIOLOGY OF EXERCISE,"KIN-425K: PHYSIOLOGY OF EXERCISE, Section no. 11155",A,5
,,,,,,,,C,4
,,,,,,,,Other,1
,,11165,Kinesiology,KIN, 226,ADVANCED WEIGHT TRAINING,"KIN-226: ADVANCED WEIGHT TRAINING, Section no. 11165",A,8
,,,,,,,,B,3
,,,,,,,,D,1
,,,,,,,,Other,1
,,11170,Kinesiology,KIN, 326K,BIOMECH ANLY OF MOVEMENT,"KIN-326K: BIOMECH ANLY OF MOVEMENT, Section no. 11170",A,28
,,,,,,,,B,6
,,,,,,,,C,1
,,,,,,,,Other,1
,,11260,Kinesiology,KIN, 335C,MOTOR LEARNING-WB,"KIN-335C: MOTOR LEARNING-WB, Section no. 11260",A,4
,,,,,,,,B,4
,,,,,,,,C,2
,,,,,,,,D,2
,,,,,,,,Other,4
,,11265,Kinesiology,KIN, 335C,MOTOR LEARNING-WB,"KIN-335C: MOTOR LEARNING-WB, Section no. 11265",A,4
,,,,,,,,B,4
,,,,,,,,C,7
,,,,,,,,D,1
,,,,,,,,F,1
,,11270,Kinesiology,KIN, 335C,MOTOR LEARNING-WB,"KIN-335C: MOTOR LEARNING-WB, Section no. 11270",A,3
,,,,,,,,B,5
,,,,,,,,C,4
,,,,,,,,F,1
,,,,,,,,Other,2
,,11275,Kinesiology,KIN, 335C,MOTOR LEARNING-WB,"KIN-335C: MOTOR LEARNING-WB, Section no. 11275",A,3
,,,,,,,,B,4
,,,,,,,,C,3
,,,,,,,,D,1
,,,,,,,,Other,1
,,11280,Kinesiology,KIN, 335C,MOTOR LEARNING-WB,"KIN-335C: MOTOR LEARNING-WB, Section no. 11280",A,2
,,,,,,,,B,4
,,,,,,,,C,5
,,11285,Kinesiology,KIN, 336,NEUROMUSCULAR CONTROL-WB,"KIN-336: NEUROMUSCULAR CONTROL-WB, Section no. 11285",A,21
,,,,,,,,B,22
,,,,,,,,C,6
,,,,,,,,D,1
,,,,,,,,Other,6
,,11290,Kinesiology,KIN, 140C,PRAC ATHLET TRAINING: LEVEL 1A,"KIN-140C: PRAC ATHLET TRAINING: LEVEL 1A, Section no. 11290",A,10
,,,,,,,,Other,6
,,11295,Kinesiology,KIN, 140E,PRAC ATHLET TRAINING: LEVEL 2A,"KIN-140E: PRAC ATHLET TRAINING: LEVEL 2A, Section no. 11295",A,13
,,,,,,,,Other,2
,,11305,Kinesiology,KIN, 140M,ADVANCED MANUAL THERAPY,"KIN-140M: ADVANCED MANUAL THERAPY, Section no. 11305",A,9
,,,,,,,,B,6
,,,,,,,,Other,1
,,11310,Kinesiology,KIN, 341,THERAPEUTIC MODALS IN ATH TRNG,"KIN-341: THERAPEUTIC MODALS IN ATH TRNG, Section no. 11310",A,3
,,,,,,,,B,9
,,,,,,,,C,2
,,,,,,,,Other,2
,,11324,Kinesiology,KIN, 345,GEN MED COND IN ATHL TRAINING,"KIN-345: GEN MED COND IN ATHL TRAINING, Section no. 11324",A,4
,,,,,,,,B,9
,,,,,,,,C,1
,,,,,,,,Other,1
,,11330,Kinesiology,KIN, 347,HIST/ETH ISS PHYS CUL/SPORT-WB,"KIN-347: HIST/ETH ISS PHYS CUL/SPORT-WB, Section no. 11330",A,100
,,,,,,,,B,14
,,,,,,,,C,1
,,,,,,,,Other,5
,,11335,Kinesiology,KIN, 349,HIST OF SPORT & PHYSICAL ACTIV,"KIN-349: HIST OF SPORT & PHYSICAL ACTIV, Section no. 11335",A,5
,,,,,,,,B,14
,,,,,,,,C,5
,,,,,,,,D,1
,,,,,,,,F,1
,,,,,,,,Other,1
,,11340,Kinesiology,KIN, 350,SOCIO ASPECT SPORT/PHYS ACT-WB,"KIN-350: SOCIO ASPECT SPORT/PHYS ACT-WB, Section no. 11340",A,65
,,,,,,,,B,23
,,,,,,,,C,5
,,,,,,,,D,1
,,,,,,,,F,3
,,,,,,,,Other,3
,,11345,Kinesiology,KIN, 351,PHILOS OF SPORT AND PHYS ACTIV,"KIN-351: PHILOS OF SPORT AND PHYS ACTIV, Section no. 11345",A,19
,,,,,,,,B,8
,,,,,,,,C,2
,,,,,,,,Other,2
,,11350,Kinesiology,KIN, 352K,ADAPTED FITNESS/RECREATION-WB,"KIN-352K: ADAPTED FITNESS/RECREATION-WB, Section no. 11350",A,7
,,,,,,,,B,4
,,,,,,,,C,3
,,,,,,,,Other,1
,,11360,Kinesiology,KIN, 352K,HISTORY PHYSICAL CULTURE,"KIN-352K: HISTORY PHYSICAL CULTURE, Section no. 11360",A,16
,,,,,,,,B,6
,,,,,,,,C,4
,,,,,,,,D,1
,,,,,,,,Other,1
,,11365,Kinesiology,KIN, 352K,NTR: EXERCISE/HEALTH/SPORT,"KIN-352K: NTR: EXERCISE/HEALTH/SPORT, Section no. 11365",A,9
,,,,,,,,B,13
,,,,,,,,C,2
,,,,,,,,Other,1
,,11375,Kinesiology,KIN, 352K,SPORT PEDAGOGY-WB,"KIN-352K: SPORT PEDAGOGY-WB, Section no. 11375",A,33
,,,,,,,,B,6
,,,,,,,,C,1
,,,,,,,,Other,4
,,11395,Kinesiology,KIN, 354,SPORT AND EVENT MARKETING,"KIN-354: SPORT AND EVENT MARKETING, Section no. 11395",A,36
,,,,,,,,B,1
,,,,,,,,C,2
,,,,,,,,Other,1
,,11400,Kinesiology,KIN, 355,MEDIA/PUBLIC RELS IN SPORT-WB,"KIN-355: MEDIA/PUBLIC RELS IN SPORT-WB, Section no. 11400",A,28
,,,,,,,,B,13
,,,,,,,,C,3
,,,,,,,,D,1
,,11415,Kinesiology,KIN, 360,PROG FOR PPL WITH DISABILS-WB,"KIN-360: PROG FOR PPL WITH DISABILS-WB, Section no. 11415",A,10
,,,,,,,,B,10
,,,,,,,,C,1
,,11420,Kinesiology,KIN, 363,THRY/PRAC IN STRENGTH COACHING,"KIN-363: THRY/PRAC IN STRENGTH COACHING, Section no. 11420",A,9
,,,,,,,,B,21
,,,,,,,,C,4
,,,,,,,,D,1
,,,,,,,,Other,2
,,11423,Kinesiology,KIN, 367S,SPORT AND DISABILITY-WB,"KIN-367S: SPORT AND DISABILITY-WB, Section no. 11423",A,17
,,,,,,,,B,1
,,,,,,,,C,1
,,,,,,,,Other,1
,,11445,Kinesiology,KIN, 386,4-RSCH MTHDS GRANT WRITING-WB,"KIN-386: 4-RSCH MTHDS GRANT WRITING-WB, Section no. 11445",A,13
,,,,,,,,B,2
,,11450,Kinesiology,KIN, 395,CARDIO RESPONSE AND ADAPT EXER,"KIN-395: CARDIO RESPONSE AND ADAPT EXER, Section no. 11450",A,6
,,,,,,,,B,4
,,11455,Kinesiology,KIN, 395,ENVIRONMENTAL PHYSIOLOGY,"KIN-395: ENVIRONMENTAL PHYSIOLOGY, Section no. 11455",A,3
,,,,,,,,B,2
,,,,,,,,C,1
,,11460,Kinesiology,KIN, 395,HUMAN ANATOMY DISSECTION,"KIN-395: HUMAN ANATOMY DISSECTION, Section no. 11460",A,5
,,,,,,,,B,1
,,,,,,,,C,1
,,11470,Kinesiology,KIN, 395,LEADERSHIP IN SPORT ORGS-WB,"KIN-395: LEADERSHIP IN SPORT ORGS-WB, Section no. 11470",A,18
,,,,,,,,B,1
,,,,,,,,F,1
,,,,,,,,Other,2
,,11504,Kinesiology,KIN, 395,32-SPORT MARKETING-WB,"KIN-395: 32-SPORT MARKETING-WB, Section no. 11504",A,21
,,,,,,,,B,1
,,,,,,,,C,1
,,,,,,,,F,1
,,11505,Kinesiology,KIN, 395,42-FACILITY AND EVENT MGMT-WB,"KIN-395: 42-FACILITY AND EVENT MGMT-WB, Section no. 11505",A,13
,,,,,,,,B,3
,,,,,,,,F,2
,,,,,,,,Other,1
,,11510,Kinesiology,KIN, 395,44-SPORT FINANCE-WB,"KIN-395: 44-SPORT FINANCE-WB, Section no. 11510",A,15
,,,,,,,,B,7
,,,,,,,,C,1
,,,,,,,,F,1
,,11515,Kinesiology,KIN, 395,48-SOCL PSY OF SPORT/PHYS ACTV,"KIN-395: 48-SOCL PSY OF SPORT/PHYS ACTV, Section no. 11515",A,7
,,,,,,,,B,2
,,11525,Kinesiology,KIN, 395,52-ORG BEHAV IN SPORT-WB,"KIN-395: 52-ORG BEHAV IN SPORT-WB, Section no. 11525",A,17
,,,,,,,,B,1
,,,,,,,,Other,4
,,11535,Kinesiology,KIN, 395,68-HUM RES MGMT SPORT ORGS-WB,"KIN-395: 68-HUM RES MGMT SPORT ORGS-WB, Section no. 11535",A,20
,,,,,,,,B,1
,,,,,,,,C,1
,,11554,Kinesiology,KIN, 395,77-STRATEGIC MGMT IN SPORT-WB,"KIN-395: 77-STRATEGIC MGMT IN SPORT-WB, Section no. 11554",A,8
,,,,,,,,B,2
,,,,,,,,C,1
,,11695,Physical Education,PED, 103L,1-BEGIN SOCIAL DANCE: LEADS-WB,"PED-103L: 1-BEGIN SOCIAL DANCE: LEADS-WB, Section no. 11695",A,15
,,,,,,,,B,1
,,,,,,,,C,1
,,11700,Physical Education,PED, 103L,1-BEGIN SOCIAL DANCE: LEADS-WB,"PED-103L: 1-BEGIN SOCIAL DANCE: LEADS-WB, Section no. 11700",A,20
,,,,,,,,B,1
,,,,,,,,Other,6
,,11720,Physical Education,PED, 103L,7-BEGIN SOCIAL DNC: FOLLOWS-WB,"PED-103L: 7-BEGIN SOCIAL DNC: FOLLOWS-WB, Section no. 11720",A,16
,,,,,,,,Other,2
,,11735,Physical Education,PED, 104P,1-BEGINNING TENNIS,"PED-104P: 1-BEGINNING TENNIS, Section no. 11735",A,21
,,,,,,,,B,1
,,,,,,,,Other,2
,,11745,Physical Education,PED, 104P,1-BEGINNING TENNIS,"PED-104P: 1-BEGINNING TENNIS, Section no. 11745",A,17
,,,,,,,,F,1
,,,,,,,,Other,1
,,11750,Physical Education,PED, 104P,1-BEGINNING TENNIS,"PED-104P: 1-BEGINNING TENNIS, Section no. 11750",A,17
,,,,,,,,Other,4
,,11780,Physical Education,PED, 105R,1-BEGINNING KARATE/TAE KWON DO,"PED-105R: 1-BEGINNING KARATE/TAE KWON DO, Section no. 11780",A,8
,,,,,,,,C,1
,,,,,,,,D,1
,,,,,,,,Other,1
,,11790,Physical Education,PED, 105T,1-BEGINNING JUDO,"PED-105T: 1-BEGINNING JUDO, Section no. 11790",A,7
,,,,,,,,B,1
,,,,,,,,C,1
,,,,,,,,Other,1
,,11855,Physical Education,PED, 106C,2-CARDIOVAS & WEIGHT TRAINING,"PED-106C: 2-CARDIOVAS & WEIGHT TRAINING, Section no. 11855",A,22
,,,,,,,,F,1
,,,,,,,,Other,1
,,11865,Physical Education,PED, 106C,3-AEROBIC WALKING,"PED-106C: 3-AEROBIC WALKING, Section no. 11865",A,36
,,,,,,,,B,1
,,,,,,,,C,1
,,,,,,,,Other,2
,,11870,Physical Education,PED, 106C,3-AEROBIC WALKING,"PED-106C: 3-AEROBIC WALKING, Section no. 11870",A,28
,,,,,,,,B,9
,,,,,,,,Other,2
,,11875,Physical Education,PED, 106C,3-AEROBIC WALKING,"PED-106C: 3-AEROBIC WALKING, Section no. 11875",A,36
,,,,,,,,B,1
,,,,,,,,Other,2
,,11880,Physical Education,PED, 106C,5-BODY WORKS-WB,"PED-106C: 5-BODY WORKS-WB, Section no. 11880",A,46
,,,,,,,,B,1
,,,,,,,,C,1
,,,,,,,,Other,1
,,11885,Physical Education,PED, 106C,5-BODY WORKS-WB,"PED-106C: 5-BODY WORKS-WB, Section no. 11885",A,43
,,,,,,,,Other,3
,,11890,Physical Education,PED, 106C,5-BODY WORKS-WB,"PED-106C: 5-BODY WORKS-WB, Section no. 11890",A,47
,,,,,,,,B,1
,,,,,,,,Other,1
,,11900,Physical Education,PED, 106C,6-CIRCUIT AEROBICS,"PED-106C: 6-CIRCUIT AEROBICS, Section no. 11900",A,24
,,,,,,,,Other,2
,,11905,Physical Education,PED, 106C,6-CIRCUIT AEROBICS,"PED-106C: 6-CIRCUIT AEROBICS, Section no. 11905",A,20
,,,,,,,,B,1
,,,,,,,,C,1
,,,,,,,,Other,1
,,11910,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11910",A,14
,,,,,,,,Other,3
,,11915,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11915",A,9
,,,,,,,,F,1
,,,,,,,,Other,2
,,11920,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11920",A,7
,,,,,,,,F,1
,,,,,,,,Other,5
,,11925,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11925",A,13
,,,,,,,,B,3
,,,,,,,,C,1
,,,,,,,,Other,1
,,11930,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11930",A,8
,,,,,,,,B,2
,,,,,,,,C,1
,,,,,,,,Other,3
,,11935,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11935",A,10
,,,,,,,,B,1
,,,,,,,,Other,1
,,11945,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11945",A,8
,,,,,,,,C,1
,,,,,,,,Other,1
,,11955,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11955",A,6
,,,,,,,,B,1
,,,,,,,,C,1
,,,,,,,,Other,3
,,11960,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11960",A,9
,,,,,,,,C,1
,,,,,,,,Other,2
,,11965,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11965",A,11
,,,,,,,,Other,2
,,11970,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11970",A,8
,,,,,,,,Other,3
,,11980,Physical Education,PED, 106C,7-WEIGHT TRAINING,"PED-106C: 7-WEIGHT TRAINING, Section no. 11980",A,14
,,,,,,,,Other,4
,,11990,Physical Education,PED, 106D,1-BEGINNING RUNNING I,"PED-106D: 1-BEGINNING RUNNING I, Section no. 11990",A,44
,,,,,,,,B,3
,,,,,,,,C,4
,,,,,,,,F,1
,,,,,,,,Other,5
,,11995,Physical Education,PED, 106D,2-INTERMEDIATE RUNNING,"PED-106D: 2-INTERMEDIATE RUNNING, Section no. 11995",A,16
,,,,,,,,C,1
,,,,,,,,Other,4
,,12160,Special Education,SED, 303,AUTISM SPECTRUM DISORDER-WB,"SED-303: AUTISM SPECTRUM DISORDER-WB, Section no. 12160",A,513
,,,,,,,,B,26
,,,,,,,,C,6
,,,,,,,,D,3
,,,,,,,,F,1
,,,,,,,,Other,20
,,12230,Special Education,SED, 384,INSTRUCT/INTERVENTN IN ECSE-WB,"SED-384: INSTRUCT/INTERVENTN IN ECSE-WB, Section no. 12230",A,5
,,,,,,,,Other,2
,,12235,Special Education,SED, 384,1-OVERVIEW ERLY CHILDHD SED-WB,"SED-384: 1-OVERVIEW ERLY CHILDHD SED-WB, Section no. 12235",A,7
,,,,,,,,B,2
,,,,,,,,Other,1
,,12270,Special Education,SED, 388,14-PRAC: PROF/ETH PRACTICE,"SED-388: 14-PRAC: PROF/ETH PRACTICE, Section no. 12270",A,11
,,,,,,,,Other,2
,,12275,Special Education,SED, 388,14-PRAC: PROF/ETH PRACTICE,"SED-388: 14-PRAC: PROF/ETH PRACTICE, Section no. 12275",A,4
,,,,,,,,B,1
,,,,,,,,Other,1
,,12440,Engineering Studies,E S, 102,SPATIAL VISUALIZATION-WB,"E S-102: SPATIAL VISUALIZATION-WB, Section no. 12440",A,35
,,,,,,,,Other,3
,,12600,Engineering Studies,E S, 177,1-LONGHORN STARTUP SEMINAR-WB,"E S-177: 1-LONGHORN STARTUP SEMINAR-WB, Section no. 12600",A,9
,,,,,,,,B,1
,,,,,,,,Other,2
,,12830,General Engineering,G E, 107C,SUPPL INSTRUCTN FOR M 408C -WB,"G E-107C: SUPPL INSTRUCTN FOR M 408C -WB, Section no. 12830",F,2
,,,,,,,,Other,15
,,12955,Aerospace Engineering,ASE, 320,LOW-SPEED AERODYNAMICS-WB,"ASE-320: LOW-SPEED AERODYNAMICS-WB, Section no. 12955",A,27
,,,,,,,,B,27
,,,,,,,,C,7
,,,,,,,,Other,7
,,12960,Aerospace Engineering,ASE, 120K,LOW-SPEED AERODYNAMICS LAB,"ASE-120K: LOW-SPEED AERODYNAMICS LAB, Section no. 12960",A,24
,,,,,,,,B,23
,,,,,,,,C,6
,,,,,,,,D,1
,,,,,,,,Other,7
,,12965,Aerospace Engineering,ASE, 324L,AEROSPACE MATERIALS LAB-WB,"ASE-324L: AEROSPACE MATERIALS LAB-WB, Section no. 12965",A,5
,,,,,,,,B,3
,,,,,,,,Other,3
,,12970,Aerospace Engineering,ASE, 324L,AEROSPACE MATERIALS LAB-WB,"ASE-324L: AEROSPACE MATERIALS LAB-WB, Section no. 12970",A,6
,,,,,,,,B,1
,,,,,,,,C,1
,,,,,,,,F,1
,,,,,,,,Other,3
,,12975,Aerospace Engineering,ASE, 324L,AEROSPACE MATERIALS LAB-WB,"ASE-324L: AEROSPACE MATERIALS LAB-WB, Section no. 12975",A,6
,,,,,,,,B,4
,,,,,,,,Other,2
,,12985,Aerospace Engineering,ASE, 324L,AEROSPACE MATERIALS LAB-WB,"ASE-324L: AEROSPACE MATERIALS LAB-WB, Section no. 12985",A,4
,,,,,,,,B,6
,,,,,,,,Other,2
,,13030,Aerospace Engineering,ASE, 330M,LINEAR SYSTEM ANALYSIS-WB,"ASE-330M: LINEAR SYSTEM ANALYSIS-WB, Section no. 13030",A,57
,,,,,,,,B,19
,,,,,,,,C,5
,,,,,,,,F,2
,,,,,,,,Other,11
,,13045,Aerospace Engineering,ASE, 339,ADV STRENGTH OF MATERIALS-WB,"ASE-339: ADV STRENGTH OF MATERIALS-WB, Section no. 13045",A,2
,,,,,,,,B,4
,,,,,,,,C,4
,,,,,,,,Other,7
,,13050,Aerospace Engineering,ASE, 346,VISCOUS FLUID FLOW-WB,"ASE-346: VISCOUS FLUID FLOW-WB, Section no. 13050",A,4
,,,,,,,,B,6
,,,,,,,,Other,2
,,13055,Aerospace Engineering,ASE, 361K,AIRCRAFT DESIGN I,"ASE-361K: AIRCRAFT DESIGN I, Section no. 13055",A,12
,,,,,,,,B,3
,,,,,,,,C,3
,,13070,Aerospace Engineering,ASE, 364,APPLIED AERODYNAMICS-WB,"ASE-364: APPLIED AERODYNAMICS-WB, Section no. 13070",A,11
,,,,,,,,B,17
,,,,,,,,C,9
,,,,,,,,Other,2
,,13075,Aerospace Engineering,ASE, 365,STRUCTURAL DYNAMICS-WB,"ASE-365: STRUCTURAL DYNAMICS-WB, Section no. 13075",A,15
,,,,,,,,B,57
,,,,,,,,C,3
,,,,,,,,F,1
,,,,,,,,Other,14
,,13080,Aerospace Engineering,ASE, 366K,SPACECRAFT DYNAMICS-WB,"ASE-366K: SPACECRAFT DYNAMICS-WB, Section no. 13080",A,24
,,,,,,,,B,23
,,,,,,,,C,9
,,,,,,,,D,2
,,,,,,,,F,4
,,,,,,,,Other,25
,,13085,Aerospace Engineering,ASE, 166M,SPACECRAFT SYSTEMS LAB-WB,"ASE-166M: SPACECRAFT SYSTEMS LAB-WB, Section no. 13085",A,26
,,,,,,,,B,10
,,,,,,,,C,2
,,,,,,,,Other,6
,,13090,Aerospace Engineering,ASE, 166M,SPACECRAFT SYSTEMS LAB-WB,"ASE-166M: SPACECRAFT SYSTEMS LAB-WB, Section no. 13090",A,17
,,,,,,,,B,6
,,,,,,,,C,3
,,,,,,,,Other,7
,,13095,Aerospace Engineering,ASE, 370C,FEEDBACK CONTROL SYSTEMS-WB,"ASE-370C: FEEDBACK CONTROL SYSTEMS-WB, Section no. 13095",A,23
,,,,,,,,B,29
,,,,,,,,C,9
,,,,,,,,D,1
,,,,,,,,Other,11
,,13100,Aerospace Engineering,ASE, 372K,ATTITUDE DYNAMICS-WB,"ASE-372K: ATTITUDE DYNAMICS-WB, Section no. 13100",A,26
,,,,,,,,B,19
,,,,,,,,C,3
,,,,,,,,D,2
,,,,,,,,F,2
,,,,,,,,Other,5
,,13105,Aerospace Engineering,ASE, 372N,SATELLITE-BASED NAVIGATION-WB,"ASE-372N: SATELLITE-BASED NAVIGATION-WB, Section no. 13105",A,7
,,,,,,,,B,5
,,,,,,,,C,3
,,,,,,,,Other,5
,,13110,Aerospace Engineering,ASE, 374K,SPACE SYSTEMS ENGR DESIGN-WB,"ASE-374K: SPACE SYSTEMS ENGR DESIGN-WB, Section no. 13110",A,57
,,,,,,,,B,6
,,,,,,,,C,2
,,,,,,,,Other,7
,,13115,Aerospace Engineering,ASE, 374L,SPACECRAFT/MISSION DESIGN-WB,"ASE-374L: SPACECRAFT/MISSION DESIGN-WB, Section no. 13115",A,14
,,,,,,,,B,3
,,13120,Aerospace Engineering,ASE, 375,ELECTROMECHANICAL SYSTEMS,"ASE-375: ELECTROMECHANICAL SYSTEMS, Section no. 13120",A,5
,,,,,,,,B,9
,,,,,,,,Other,1
,,13125,Aerospace Engineering,ASE, 375,ELECTROMECHANICAL SYSTEMS,"ASE-375: ELECTROMECHANICAL SYSTEMS, Section no. 13125",A,8
,,,,,,,,B,6
,,13130,Aerospace Engineering,ASE, 375,ELECTROMECHANICAL SYSTEMS,"ASE-375: ELECTROMECHANICAL SYSTEMS, Section no. 13130",A,3
,,,,,,,,B,11
,,,,,,,,D,1
,,,,,,,,Other,1
,,13135,Aerospace Engineering,ASE, 375,ELECTROMECHANICAL SYSTEMS,"ASE-375: ELECTROMECHANICAL SYSTEMS, Section no. 13135",A,5
,,,,,,,,B,7
,,,,,,,,C,1
,,13140,Aerospace Engineering,ASE, 375,ELECTROMECHANICAL SYSTEMS,"ASE-375: ELECTROMECHANICAL SYSTEMS, Section no. 13140",A,4
,,,,,,,,B,9
,,,,,,,,Other,3
,,13145,Aerospace Engineering,ASE, 375,ELECTROMECHANICAL SYSTEMS,"ASE-375: ELECTROMECHANICAL SYSTEMS, Section no. 13145",A,6
,,,,,,,,B,6
,,,,,,,,C,1
,,13150,Aerospace Engineering,ASE, 376K,PROPULSION-WB,"ASE-376K: PROPULSION-WB, Section no. 13150",A,24
,,,,,,,,B,28
,,,,,,,,C,16
,,,,,,,,D,2
,,,,,,,,Other,6
,,13155,Aerospace Engineering,ASE, 376K,PROPULSION-WB,"ASE-376K: PROPULSION-WB, Section no. 13155",A,22
,,,,,,,,B,17
,,,,,,,,C,12
,,,,,,,,Other,7
,,13200,Aerospace Engineering,ASE, 381P,1-LINEAR SYSTEMS ANALYSIS-WB,"ASE-381P: 1-LINEAR SYSTEMS ANALYSIS-WB, Section no. 13200",A,19
,,,,,,,,B,8
,,,,,,,,F,1
,,,,,,,,Other,4
,,13210,Aerospace Engineering,ASE, 381P,6-STATISTICAL ESTIMATION THRY,"ASE-381P: 6-STATISTICAL ESTIMATION THRY, Section no. 13210",A,8
,,,,,,,,B,3
,,,,,,,,Other,1
,,13211,Aerospace Engineering,ASE, 381P,6-STATISTICAL ESTIMATN THRY-WB,"ASE-381P: 6-STATISTICAL ESTIMATN THRY-WB, Section no. 13211",A,8
,,,,,,,,B,6
,,,,,,,,Other,1
,,13215,Aerospace Engineering,ASE, 382Q,1-FOUNDATNS OF FLUID MECH-WB,"ASE-382Q: 1-FOUNDATNS OF FLUID MECH-WB, Section no. 13215",A,4
,,,,,,,,B,7
,,13225,Aerospace Engineering,ASE, 382Q,11-FNDTN COMPUT FLUID DYNAM-WB,"ASE-382Q: 11-FNDTN COMPUT FLUID DYNAM-WB, Section no. 13225",A,3
,,,,,,,,B,4
,,,,,,,,Other,2
,,13245,Aerospace Engineering,ASE, 388P,2-CELESTIAL MECHANICS I,"ASE-388P: 2-CELESTIAL MECHANICS I, Section no. 13245",A,6
,,,,,,,,B,1
,,,,,,,,Other,1
,,13247,Aerospace Engineering,ASE, 388P,2-CELESTIAL MECHANICS I-WB,"ASE-388P: 2-CELESTIAL MECHANICS I-WB, Section no. 13247",A,5
,,,,,,,,Other,2
,,13248,Aerospace Engineering,ASE, 389,INTRO TO OPTIMIZATION-WB,"ASE-389: INTRO TO OPTIMIZATION-WB, Section no. 13248",A,18
,,,,,,,,Other,3
,,13249,Aerospace Engineering,ASE, 389,ROTARY-WING AIRCRAFT,"ASE-389: ROTARY-WING AIRCRAFT, Section no. 13249",A,2
,,,,,,,,B,4
,,13360,Computational Engineering,COE, 301,INTRO TO COMPUTER PRGRMMING-WB,"COE-301: INTRO TO COMPUTER PRGRMMING-WB, Section no. 13360",A,61
