Academic_Year,Semester,Section_Number,Department_Program,Course_Prefix,Course_Number,Course_Title,Course,Letter_Grade,Count_of_letter_grade
,,595,Architecture,ARC, 310K,DESIGN I,"ARC-310K: DESIGN I, Section no. 595",A,15
,,,,,,,,B,31
,,,,,,,,C,6
,,600,Architecture,ARC, 311K,VISUAL COMMUNICATION I,"ARC-311K: VISUAL COMMUNICATION I, Section no. 600",A,12
,,,,,,,,B,37
,,,,,,,,C,3
,,605,Architecture,ARC, 415K,CONSTRUCTION I-WB,"ARC-415K: CONSTRUCTION I-WB, Section no. 605",A,21
,,,,,,,,B,8
,,,,,,,,C,1
,,610,Architecture,ARC, 415K,CONSTRUCTION I-WB,"ARC-415K: CONSTRUCTION I-WB, Section no. 610",A,14
,,,,,,,,B,13
,,,,,,,,C,2
,,615,Architecture,ARC, 318L,WRLD ARCH: INDSTRL REV-PRES,"ARC-318L: WRLD ARCH: INDSTRL REV-PRES, Section no. 615",A,9
,,,,,,,,B,1
,,,,,,,,F,1
,,,,,,,,Other,1
,,620,Architecture,ARC, 318L,WRLD ARCH: INDSTRL REV-PRES,"ARC-318L: WRLD ARCH: INDSTRL REV-PRES, Section no. 620",A,6
,,,,,,,,B,2
,,,,,,,,C,1
,,,,,,,,Other,1
,,625,Architecture,ARC, 318L,WRLD ARCH: INDSTRL REV-PRES,"ARC-318L: WRLD ARCH: INDSTRL REV-PRES, Section no. 625",A,6
,,,,,,,,B,2
,,,,,,,,C,2
,,,,,,,,Other,1
,,635,Architecture,ARC, 318L,WRLD ARCH: INDSTRL REV-PRES,"ARC-318L: WRLD ARCH: INDSTRL REV-PRES, Section no. 635",A,10
,,,,,,,,B,1
,,,,,,,,C,1
,,,,,,,,F,1
,,,,,,,,Other,1
,,645,Architecture,ARC, 318L,WORLD ARCH: INDUST REV-PRES-WB,"ARC-318L: WORLD ARCH: INDUST REV-PRES-WB, Section no. 645",A,10
,,,,,,,,B,1
,,,,,,,,D,1
,,,,,,,,Other,1
,,660,Architecture,ARC, 318L,WRLD ARCH: INDSTRL REV-PRES,"ARC-318L: WRLD ARCH: INDSTRL REV-PRES, Section no. 660",A,8
,,,,,,,,B,1
,,,,,,,,Other,1
,,670,Architecture,ARC, 321D,DESIGN III INTERMEDIATE,"ARC-321D: DESIGN III INTERMEDIATE, Section no. 670",A,7
,,,,,,,,B,6
,,675,Architecture,ARC, 321D,DESIGN III INTERMEDIATE,"ARC-321D: DESIGN III INTERMEDIATE, Section no. 675",A,8
,,,,,,,,B,4
,,,,,,,,C,1
,,680,Architecture,ARC, 321D,DESIGN III INTERMEDIATE,"ARC-321D: DESIGN III INTERMEDIATE, Section no. 680",A,9
,,,,,,,,B,4
,,681,Architecture,ARC, 321D,DESIGN III INTERMEDIATE-WB,"ARC-321D: DESIGN III INTERMEDIATE-WB, Section no. 681",A,6
,,,,,,,,B,10
,,690,Architecture,ARC, 521F,DESIGN V INTERMEDIATE,"ARC-521F: DESIGN V INTERMEDIATE, Section no. 690",A,4
,,,,,,,,B,7
,,,,,,,,C,1
